Raman Shift / Pixel,Intensity
1327.952319587629,3359.7
1327.0580756013746,3344.2
1326.1638316151202,3365.0
1325.2695876288662,3349.9
1324.3753436426118,3348.1
1323.4810996563574,3332.4
1322.5868556701032,3385.0
1321.692611683849,3363.8
1320.7983676975946,3330.8
1319.9041237113402,3337.0
1319.009879725086,3329.5
1318.1156357388318,3356.5
1317.2213917525773,3371.0
1316.3271477663232,3352.3
1315.432903780069,3370.7
1314.5386597938145,3355.2
1313.64441580756,3368.6
1312.750171821306,3363.3
1311.8559278350517,3356.0
1310.9616838487973,3358.7
1310.067439862543,3345.1
1309.173195876289,3330.3
1308.2789518900345,3346.1
1307.38470790378,3381.4
1306.4904639175259,3333.3
1305.5962199312717,3359.7
1304.7019759450172,3370.9
1303.8077319587628,3359.9
1302.9134879725088,3348.9
1302.0192439862544,3381.4
1301.125,3346.7
1300.2307560137458,3342.9
1299.3365120274916,3379.0
1298.4422680412372,3385.1
1297.5480240549828,3357.0
1296.6537800687286,3338.0
1295.7595360824744,3350.8
1294.86529209622,3349.9
1293.9710481099657,3337.7
1293.0768041237116,3319.3
1292.1825601374571,3331.1
1291.2883161512027,3395.0
1290.3940721649485,3348.0
1289.4998281786943,3373.1
1288.60558419244,3367.7
1287.7113402061857,3346.3
1286.8170962199315,3374.2
1285.922852233677,3354.0
1285.0286082474227,3334.4
1284.1343642611685,3340.0
1283.2401202749143,3371.5
1282.3458762886598,3337.0
1281.4516323024056,3351.9
1280.5573883161514,3367.6
1279.663144329897,3348.2
1278.7689003436426,3342.7
1277.8746563573884,3347.2
1276.9804123711342,3314.1
1276.0861683848798,3374.8
1275.1919243986254,3368.5
1274.2976804123714,3357.3
1273.403436426117,3335.9
1272.5091924398625,3363.0
1271.6149484536083,3373.6
1270.7207044673542,3310.7
1269.8264604810997,3337.2
1268.9322164948453,3351.7
1268.037972508591,3336.3
1267.143728522337,3336.8
1266.2494845360825,3340.6
1265.3552405498283,3369.7
1264.460996563574,3354.1
1263.5667525773197,3332.9
1262.6725085910653,3360.3
1261.778264604811,3353.2
1260.8840206185569,3353.7
1259.9897766323024,3337.1
1259.0955326460482,3347.4
1258.201288659794,3352.0
1257.3070446735396,3358.5
1256.4128006872852,3380.6
1255.518556701031,3363.7
1254.6243127147768,3349.9
1253.7300687285224,3371.7
1252.8358247422682,3332.4
1251.941580756014,3349.4
1251.0473367697596,3382.7
1250.1530927835051,3378.0
1249.258848797251,3359.6
1248.3646048109968,3357.0
1247.4703608247423,3350.1
1246.576116838488,3347.6
1245.681872852234,3356.5
1244.7876288659795,3364.5
1243.893384879725,3348.0
1242.999140893471,3341.9
1242.1048969072167,3343.4
1241.2106529209623,3347.1
1240.3164089347079,3381.9
1239.4221649484537,3319.7
1238.5279209621995,3366.9
1237.633676975945,3351.8
1236.7394329896908,3371.5
1235.8451890034366,3335.0
1234.9509450171822,3337.4
1234.0567010309278,3347.0
1233.1624570446736,3402.9
1232.2682130584194,3380.1
1231.373969072165,3379.8
1230.4797250859108,3394.9
1229.5854810996566,3366.3
1228.6912371134022,3388.4
1227.7969931271477,3366.9
1226.9027491408935,3376.3
1226.0085051546394,3365.6
1225.114261168385,3344.4
1224.2200171821307,3379.4
1223.3257731958765,3403.8
1222.431529209622,3385.0
1221.5372852233677,3363.0
1220.6430412371135,3414.4
1219.7487972508593,3358.8
1218.8545532646049,3396.1
1217.9603092783505,3415.7
1217.0660652920965,3376.3
1216.171821305842,3402.5
1215.2775773195876,3349.6
1214.3833333333334,3329.1
1213.4890893470792,3389.0
1212.5948453608248,3419.1
1211.7006013745704,3352.0
1210.8063573883162,3369.3
1209.912113402062,3371.3
1209.0178694158076,3353.2
1208.1236254295534,3363.0
1207.2293814432992,3343.5
1206.3351374570448,3389.8
1205.4408934707903,3347.1
1204.5466494845361,3391.6
1203.652405498282,3395.2
1202.7581615120275,3392.0
1201.8639175257733,3355.4
1200.9696735395191,3400.7
1200.0754295532647,3375.6
1199.1811855670103,3365.4
1198.286941580756,3351.7
1197.392697594502,3368.0
1196.4984536082475,3384.5
1195.6042096219933,3350.9
1194.709965635739,3394.9
1193.8157216494847,3359.6
1192.9214776632302,3371.4
1192.027233676976,3327.2
1191.1329896907218,3367.7
1190.2387457044674,3357.5
1189.344501718213,3359.4
1188.4502577319588,3347.0
1187.5560137457046,3349.5
1186.6617697594502,3366.7
1185.767525773196,3376.5
1184.8732817869418,3364.1
1183.9790378006874,3399.8
1183.084793814433,3375.1
1182.1905498281787,3358.1
1181.2963058419245,3357.1
1180.4020618556701,3326.3
1179.507817869416,3340.3
1178.6135738831617,3357.4
1177.7193298969073,3343.4
1176.825085910653,3372.2
1175.9308419243987,3344.8
1175.0365979381445,3316.1
1174.14235395189,3357.1
1173.2481099656359,3381.5
1172.3538659793817,3357.3
1171.4596219931273,3370.6
1170.5653780068728,3339.7
1169.6711340206186,3359.4
1168.7768900343644,3378.6
1167.88264604811,3365.5
1166.9884020618556,3381.3
1166.0941580756016,3349.2
1165.1999140893472,3340.3
1164.3056701030928,3377.2
1163.4114261168386,3342.0
1162.5171821305844,3345.1
1161.62293814433,3350.1
1160.7286941580755,3344.7
1159.8344501718213,3334.7
1158.9402061855671,3344.7
1158.0459621993127,3345.5
1157.1517182130585,3372.9
1156.2574742268043,3326.4
1155.36323024055,3368.1
1154.4689862542955,3376.3
1153.5747422680413,3361.0
1152.680498281787,3344.3
1151.7862542955327,3354.2
1150.8920103092785,3364.3
1149.9977663230243,3334.8
1149.1035223367699,3345.0
1148.2092783505154,3348.4
1147.3150343642612,3357.5
1146.420790378007,3397.5
1145.5265463917526,3376.4
1144.6323024054984,3329.5
1143.7380584192442,3372.5
1142.8438144329898,3387.8
1141.9495704467354,3330.5
1141.0553264604812,3340.9
1140.161082474227,3339.8
1139.2668384879726,3371.6
1138.3725945017181,3368.9
1137.4783505154642,3364.5
1136.5841065292097,3349.6
1135.6898625429553,3400.1
1134.7956185567011,3352.3
1133.901374570447,3392.4
1133.0071305841925,3360.4
1132.112886597938,3348.9
1131.218642611684,3356.2
